canonical	preferred_dir	preferred_path	preferred_frontmatter_name	aliases
skill-judge	skill-judge	.codex/skills/skill-judge/SKILL.md	skill-judge-06cc39	skills-skill-judge-skill
skill-marketplace	skill-marketplace	.codex/skills/skill-marketplace/SKILL.md	skill-marketplace-e9320c	
snowflake-semanticview	snowflake-semanticview	.codex/skills/snowflake-semanticview/SKILL.md	snowflake-semanticview-017753	
sora	sora	.codex/skills/sora/SKILL.md	sora-d11309	-curated-sora-skill
spec-writer	spec-writer	.codex/skills/spec-writer/SKILL.md	spec-writer-be41fb	
spec-writer-system-prompt	spec-writer-system-prompt	.codex/skills/spec-writer-system-prompt/SKILL.md	spec-writer-system-prompt-04492e	
speech	speech	.codex/skills/speech/SKILL.md	speech-bc8562	-curated-speech-skill
spreadsheet	spreadsheet	.codex/skills/spreadsheet/SKILL.md	spreadsheet-268897	-curated-spreadsheet-skill
standard-planning	standard-planning	.codex/skills/standard-planning/SKILL.md	standard-planning-b39ad7	
syscall-io-triage	syscall-io-triage	.codex/skills/syscall-io-triage/SKILL.md	syscall-io-triage-0a2e58	
system	system	.codex/skills/system/SKILL.md	system-b5513b	
system-architect	system-architect	.codex/skills/system-architect/SKILL.md	system-architect-84e9e5	
system-architecture	system-architecture	.codex/skills/system-architecture/SKILL.md	system-architecture-8934c1	skills-system-architecture-skill
system-relace	system-relace	.codex/skills/system-relace/SKILL.md	system-relace-4ba350	
task-breakdown-developer	task-breakdown-developer	.codex/skills/task-breakdown-developer/SKILL.md	task-breakdown-developer-419269	
task-completer	task-completer	.codex/skills/task-completer/SKILL.md	task-completer-4772da	
task-troubleshooter	task-troubleshooter	.codex/skills/task-troubleshooter/SKILL.md	task-troubleshooter-09cadc	
tech-lead	tech-lead	.codex/skills/tech-lead/SKILL.md	tech-lead-fa1d62	
tech-lead-filter-files-prompt	tech-lead-filter-files-prompt	.codex/skills/tech-lead-filter-files-prompt/SKILL.md	tech-lead-filter-files-prompt-a505b4	
tech-lead-planner	tech-lead-planner	.codex/skills/tech-lead-planner/SKILL.md	tech-lead-planner-078185	
tech-lead-system-prompt	tech-lead-system-prompt	.codex/skills/tech-lead-system-prompt/SKILL.md	tech-lead-system-prompt-e16543	
tech-writer	tech-writer	.codex/skills/tech-writer/SKILL.md	tech-writer-929a43	
tech-writer-system-prompt	tech-writer-system-prompt	.codex/skills/tech-writer-system-prompt/SKILL.md	tech-writer-system-prompt-d245d8	
technologies	technologies	.codex/skills/technologies/SKILL.md	technologies-80d65d	
telemetry-kusto-analyst	telemetry-kusto-analyst	.codex/skills/telemetry-kusto-analyst/SKILL.md	telemetry-kusto-analyst-38bb69	
tell-me-more	tell-me-more	.codex/skills/tell-me-more/SKILL.md	tell-me-more-d84e1e	
terraform-azurerm-set-diff-analyzer	terraform-azurerm-set-diff-analyzer	.codex/skills/terraform-azurerm-set-diff-analyzer/SKILL.md	terraform-azurerm-set-diff-analyzer-d1fefb	
testing-strategy	testing-strategy	.codex/skills/testing-strategy/SKILL.md	testing-strategy-84fb48	skills-testing-strategy-skill
text-data-isolation	text-data-isolation	.codex/skills/text-data-isolation/SKILL.md	text-data-isolation-85899d	skills-text-data-isolation-skill
text-data-isolation-github-original	text-data-isolation-github-original	.codex/skills/text-data-isolation-github-original/SKILL.md	text-data-isolation-github-original-1bf365	
thinkpdf	thinkpdf	.codex/skills/thinkpdf/SKILL.md	thinkpdf-6df01e	
thinkpdf-offline-mcp	thinkpdf-offline-mcp	.codex/skills/thinkpdf-offline-mcp/SKILL.md	thinkpdf-offline-mcp	
token-usage-monitor	token-usage-monitor	.codex/skills/token-usage-monitor/SKILL.md	token-usage-monitor-df2629	
tpilotx-cli	tpilotx-cli	.codex/skills/tpilotx-cli/SKILL.md	tpilotx-cli-89a761	
transcribe	transcribe	.codex/skills/transcribe/SKILL.md	transcribe-71faee	-curated-transcribe-skill
troubleshooter	troubleshooter	.codex/skills/troubleshooter/SKILL.md	troubleshooter-25cbd3	
tui-exit-shutdown	tui-exit-shutdown	.codex/skills/tui-exit-shutdown/SKILL.md	tui-exit-shutdown-b94549	skills-tui-exit-shutdown-skill
type-safety-enforcer	type-safety-enforcer	.codex/skills/type-safety-enforcer/SKILL.md	type-safety-enforcer-f3b4d5	
uc24-image-workflow	uc24-image-workflow	.codex/skills/uc24-image-workflow/SKILL.md	uc24-image-workflow-b060d5	skills-uc24-image-workflow-skill
unity-asset-recovery	unity-asset-recovery	.codex/skills/unity-asset-recovery/SKILL.md	unity-asset-recovery-5eacb9	skills-unity-asset-recovery-skill
update-instructions-prompt	update-instructions-prompt	.codex/skills/update-instructions-prompt/SKILL.md	update-instructions-prompt-fb8f88	
user-feedback	user-feedback	.codex/skills/user-feedback/SKILL.md	user-feedback-140747	
vercel-deploy	vercel-deploy	.codex/skills/vercel-deploy/SKILL.md	vercel-deploy-26adab	-curated-vercel-deploy-skill
vibe-coding	vibe-coding	.codex/skills/vibe-coding/SKILL.md	vibe-coding-4e2476	skills-vibe-coding-skill
vscode-ext-commands	vscode-ext-commands	.codex/skills/vscode-ext-commands/SKILL.md	vscode-ext-commands-1a8c10	
vscode-ext-localization	vscode-ext-localization	.codex/skills/vscode-ext-localization/SKILL.md	vscode-ext-localization-ee0d1c	
web-design-reviewer	web-design-reviewer	.codex/skills/web-design-reviewer/SKILL.md	web-design-reviewer-920981	
webapp-testing	webapp-testing	.codex/skills/webapp-testing/SKILL.md	webapp-testing-012a95	
winapp-cli	winapp-cli	.codex/skills/winapp-cli/SKILL.md	winapp-cli-cf7d9b	
wizard	wizard	.codex/skills/wizard/SKILL.md	wizard-7d510f	
workiq-copilot	workiq-copilot	.codex/skills/workiq-copilot/SKILL.md	workiq-copilot-aa0f14	
workspace-backup	workspace-backup	.codex/skills/workspace-backup/SKILL.md	workspace-backup-3e96e9	skills-workspace-backup-skill
writing-rules	writing-rules	.codex/skills/writing-rules/SKILL.md	writing-hookify-rules	skills-writing-rules-skill
yeet	yeet	.codex/skills/yeet/SKILL.md	yeet-eee056	-curated-yeet-skill
